,class,comment,full_class,subclass
0,1,The infection curve is too steep; real-world transmission rates suggest a more gradual rise.,1.1,1
1,1,The peak is too narrow—superspreading events would create a more prolonged peak.,1.1,1
2,1,The decline post-peak is too abrupt; residual transmission should extend the tail.,1.1,1
3,1,"The curve assumes uniform transmission, but heterogeneity in contact rates would flatten the peak.",1.1,1
4,1,The initial growth rate is implausibly high given baseline R0 estimates.,1.1,1
5,1,The curve lacks secondary waves; reinfections or variant emergence should create fluctuations.,1.1,1
6,1,The symmetry of the curve is unrealistic—the descent should be slower than the ascent.,1.1,1
7,1,"The model ignores seasonality effects, which would modulate infection rates over time.",1.1,1
8,1,"The curve doesn't account for behavioral changes during the peak (e.g., voluntary distancing).",1.1,1
9,1,The infection surge is too sudden; empirical data shows smoother exponential growth.,1.1,1
10,1,The tail of the epidemic is too short—long-term reservoirs of infection are neglected.,1.1,1
11,1,"The curve assumes perfect immunity post-infection, ignoring waning immunity effects.",1.1,1
12,1,The initial cases are undercounted; the true curve should have a higher baseline.,1.1,1
13,1,The peak timing is inconsistent with observed incubation periods and serial intervals.,1.1,1
14,1,The curve lacks subpeaks from localized outbreaks or clustered transmission.,1.1,1
15,1,"The decline phase is linear, but real epidemics exhibit nonlinear decay due to immunity.",1.1,1
16,1,The model overestimates synchrony in infections; regional variability should smear the peak.,1.1,1
17,1,"The curve doesn't reflect testing capacity constraints, which flatten observed peaks.",1.1,1
18,1,The rebound after the first wave is missing—relaxed measures would cause resurgence.,1.1,1
19,1,The curve assumes homogeneous population mixing; age-structured contacts would alter the shape.,1.1,1
20,1,The susceptible depletion is too rapid—herd immunity thresholds are reached unrealistically fast.,1.2,2
21,1,"The curve drops to near zero, ignoring residual susceptible pockets in the population.",1.2,2
22,1,The decline in susceptibles is linear; real data shows slowing depletion as immunity builds.,1.2,2
23,1,"The model assumes no replenishment of susceptibles (e.g., births or waning immunity).",1.2,2
24,1,The initial susceptible pool is overestimated—prior immunity should lower the starting point.,1.2,2
25,1,"The curve doesn't account for variable susceptibility (e.g., age-dependent risk).",1.2,2
26,1,"The depletion rate is constant, but behavioral changes would slow transmission over time.",1.2,2
27,1,The model ignores geographic heterogeneity in susceptible distribution.,1.2,2
28,1,"The curve assumes perfect vaccine coverage, leaving no unvaccinated subgroups.",1.2,2
29,1,The susceptible count should plateau higher due to vaccine hesitancy or inaccessibility.,1.2,2
30,1,The decline lacks stair-step patterns from phased vaccination campaigns.,1.2,2
31,1,The curve overestimates cross-immunity from other pathogens.,1.2,2
32,1,"The model doesn't reflect dynamic population changes (e.g., migration or aging).",1.2,2
33,1,The susceptible curve should show intermittent replenishment from waning immunity.,1.2,2
34,1,The depletion is too uniform; superspreaders would leave uneven immunity gaps.,1.2,2
35,1,The curve assumes no natural immunity from asymptomatic infections.,1.2,2
36,1,"The model neglects temporal spikes in susceptibility (e.g., holiday gatherings).",1.2,2
37,1,The initial susceptible fraction is misaligned with seroprevalence studies.,1.2,2
38,1,The curve doesn't account for differential susceptibility by socioeconomic factors.,1.2,2
39,1,The recovery curve lags too far behind infections—average recovery time is overestimated.,1.3,3
40,1,The recovery rate plateaus too early; long-term cases should extend the tail.,1.3,3
41,1,"The model assumes no reinfections, causing recoveries to be overcounted.",1.3,3
42,1,The recovery trajectory is too smooth; real data shows variability by age and health status.,1.3,3
43,1,The curve doesn't reflect delays in recovery reporting or data lags.,1.3,3
44,1,The initial recovery rate is implausibly high given typical disease durations.,1.3,3
45,1,"The model ignores partial immunity, which would accelerate later recoveries.",1.3,3
46,1,The recovery curve should show stepped increases from improved treatments over time.,1.3,3
47,1,The cumulative recoveries exceed plausible bounds given case fatality rates.,1.3,3
48,1,"The curve assumes uniform recovery rates, ignoring comorbidities or healthcare access.",1.3,3
49,1,The recovery phase lacks correlation with hospitalization data.,1.3,3
50,1,The model doesn't account for post-acute sequelae (long-term cases).,1.3,3
51,1,The recovery rate is too linear; real-world data shows nonlinear saturation.,1.3,3
52,1,"The curve should reflect seasonal improvements in recovery (e.g., summer vitamin D effects).",1.3,3
53,1,The model overestimates recovery speed for severe cases requiring extended care.,1.3,3
54,1,The recovery tail is too short; chronic cases would prolong the decline.,1.3,3
55,1,The curve assumes no reinfection-driven recoveries (immune boosting).,1.3,3
56,1,The recovery trajectory doesn't align with clinical trial data for treatment efficacy.,1.3,3
